dateTime,value__bpm,value__confidence
11/02/23 11:37:59,65,3
11/02/23 11:38:09,64,3
11/02/23 11:38:24,63,3
11/02/23 11:38:34,64,3
11/02/23 11:38:39,65,3
11/02/23 11:38:44,66,3
11/02/23 11:38:49,67,3
11/02/23 11:38:59,68,3
11/02/23 11:39:09,67,3
11/02/23 11:39:14,66,3
11/02/23 11:39:24,67,3
11/02/23 11:39:29,66,3
11/02/23 11:39:34,65,3
11/02/23 11:39:39,64,3
11/02/23 11:39:54,65,3
11/02/23 11:39:59,66,3
11/02/23 11:40:04,67,3
11/02/23 11:40:09,66,3
11/02/23 11:40:14,65,3
11/02/23 11:40:19,66,3
11/02/23 11:40:29,67,3
11/02/23 11:40:34,69,2
11/02/23 11:40:39,70,3
11/02/23 11:40:44,68,3
11/02/23 11:40:49,67,3
11/02/23 11:40:54,66,3
11/02/23 11:41:04,65,3
11/02/23 11:41:19,65,3
11/02/23 11:41:24,64,3
11/02/23 11:41:29,63,3
11/02/23 11:41:34,62,3
11/02/23 11:41:49,63,3
11/02/23 11:41:59,64,3
11/02/23 11:42:04,65,3
11/02/23 11:42:09,66,3
11/02/23 11:42:24,65,3
11/02/23 11:42:39,65,3
11/02/23 11:42:49,66,3
11/02/23 11:43:04,66,3
11/02/23 11:43:19,66,3
11/02/23 11:43:24,64,3
11/02/23 11:43:39,64,3
11/02/23 11:43:44,62,3
11/02/23 11:43:59,62,3
11/02/23 11:44:09,62,3
11/02/23 11:44:19,63,3
11/02/23 11:44:24,64,3
11/02/23 11:44:30,65,3
11/02/23 11:44:35,66,3
11/02/23 11:44:45,65,3
11/02/23 11:45:00,64,3
11/02/23 11:45:15,65,3
11/02/23 11:45:20,67,3
11/02/23 11:45:35,67,3
11/02/23 11:45:50,68,3
11/02/23 11:45:55,67,3
11/02/23 11:46:00,66,3
11/02/23 11:46:05,66,2
11/02/23 11:46:10,65,2
11/02/23 11:46:15,64,3
11/02/23 11:46:20,63,3
11/02/23 11:46:25,64,2
11/02/23 11:46:35,65,2
11/02/23 11:46:40,66,2
11/02/23 11:46:45,68,3
11/02/23 11:46:50,66,3
11/02/23 11:46:55,66,2
11/02/23 11:47:00,65,2
11/02/23 11:47:05,64,3
11/02/23 11:47:15,65,3
11/02/23 11:47:25,65,2
11/02/23 11:47:30,67,3
11/02/23 11:47:35,69,3
11/02/23 11:47:40,68,3
11/02/23 11:47:45,67,3
11/02/23 11:48:00,67,3
11/02/23 11:48:05,68,3
11/02/23 11:48:10,69,3
